recordId,sourceFile,sourceSection,chunkType,content,productIds,docType,atexZone,tempMaxC,foerderleistungM3h,werkstoffGehaeuse,ex_certified,wirkungsgradPct,druckMaxBar,antriebsleistungKW
spec-sheet-AL-3500-family.md::hydraulische-kennlinien::chunk-0,spec-sheet-AL-3500-family.md,Hydraulische Kennlinien,prose,"Förderhöhe vs. Durchsatz bei Nenndrehzahl 2950 min⁻¹ (50 Hz, zweipolig).",,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::al-3500::row-1,spec-sheet-AL-3500-family.md,AL-3500,table-row,Durchsatz [m³/h]: Förderhöhe [m] | 0: 78 | 40: 75 | 80: 70 | 110: 64 | 140 (BEP): 56 | 165: 44,,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::al-3500::row-2,spec-sheet-AL-3500-family.md,AL-3500,table-row,Durchsatz [m³/h]: Wirkungsgrad [%] | 0: 0 | 40: 42 | 80: 62 | 110: 72 | 140 (BEP): 76 | 165: 68,,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::al-3500-ht-al-3500-ht-x::chunk-1,spec-sheet-AL-3500-family.md,AL-3500-HT / AL-3500-HT-X,prose,"Identische Hydraulik. Bei Heißmedien fällt der Wirkungsgrad effektiv um
ca. 2 Prozentpunkte gegenüber kaltem Wasser, da Lagerträgerkühlung Energie
abführt.",,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::al-3500-ht-al-3500-ht-x::row-1,spec-sheet-AL-3500-family.md,AL-3500-HT / AL-3500-HT-X,table-row,Durchsatz [m³/h]: Förderhöhe [m] | 0: 76 | 40: 73 | 80: 68 | 110: 62 | 140 (BEP): 54 | 165: 42,,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::al-3500-ht-al-3500-ht-x::row-2,spec-sheet-AL-3500-family.md,AL-3500-HT / AL-3500-HT-X,table-row,Durchsatz [m³/h]: Wirkungsgrad [%] | 0: 0 | 40: 40 | 80: 60 | 110: 70 | 140 (BEP): 74 | 165: 66,,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::anschlussmasse::row-1,spec-sheet-AL-3500-family.md,Anschlussmaße,table-row,Maß: Saugflansch | AL-3500: DN80 PN16 | AL-3500-HT: DN80 PN25 | AL-3500-HT-X: DN80 PN25,AL-3500;AL-3500-HT;AL-3500-HT-X,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::anschlussmasse::row-2,spec-sheet-AL-3500-family.md,Anschlussmaße,table-row,Maß: Druckflansch | AL-3500: DN65 PN16 | AL-3500-HT: DN65 PN25 | AL-3500-HT-X: DN65 PN25,AL-3500;AL-3500-HT;AL-3500-HT-X,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::anschlussmasse::row-3,spec-sheet-AL-3500-family.md,Anschlussmaße,table-row,Maß: Wellenende d/l | AL-3500: 42 / 110 mm | AL-3500-HT: 42 / 110 mm | AL-3500-HT-X: 42 / 110 mm,AL-3500;AL-3500-HT;AL-3500-HT-X,spec-sheet,,,,,,,,
spec-sheet-AL-3500-family.md::anschlussmasse::row-4,spec-sheet-AL-3500-family.md,Anschlussmaße,table-row,Maß: Grundrahmenlänge | AL-3500: 1.260 mm | AL-3500-HT: 1.260 mm | AL-3500-HT-X: 1.260 mm,AL-3500;AL-3500-HT;AL-3500-HT-X,spec-sheet,,,,,,,,
